celltype,genes,res,gene_symbol
AST,829,0.7923527454040868,ALG14
AST,830,0.9040384785301597,PTBP2
AST,831,0.7085105818715097,DPYD
AST,834,0.7652616726415891,SNX7
AST,839,0.8750833340072713,AGL
AST,841,0.7801414259150674,TRMT13
AST,843,0.840485027592513,DBT
AST,844,0.7880858022708528,RTCA-AS1
AST,846,0.9259092524043412,CDC14A
AST,850,0.7258077253459974,EXTL2
AST,851,0.7942694355019506,SLC30A7
AST,856,0.7833396150585312,COL11A1
AST,857,0.9081457108706237,RNPC3
AST,858,0.7630273959544429,AMY2B
AST,862,0.9237111367722044,VAV3
AST,867,0.832561754996463,PRPF38B
AST,869,0.8588106844699033,STXBP3
AST,870,0.7025170739960798,AKNAD1
AST,872,0.8273066444822049,GPSM2
AST,873,0.7729367078461516,WDR47
AST,882,0.8973394826857446,SORT1
AST,889,0.7455381902301733,GNAI3
AST,892,0.8155277961269238,GSTM2
AST,894,0.7981942911768246,GSTM3
AST,896,0.7873558598343273,CSF1
AST,897,0.9498035980976283,AHCYL1
AST,898,0.7766126703908324,STRIP1
AST,905,0.7920858579847971,LAMTOR5-AS1
AST,909,0.8419192702496148,KCNA2
AST,912,0.7031723536231066,LRIF1
AST,914,0.739093809789947,CEPT1
AST,922,0.8115341987287428,RAP1A
AST,925,0.8737687655326967,KCND3
AST,926,0.7752206597278656,CTTNBP2NL
AST,928,0.877341449324572,ST7L
AST,929,0.886368091014828,CAPZA1
AST,930,0.7902331687398803,MOV10
AST,935,0.9003446963061246,SLC16A1-AS1
AST,936,0.7762639961569067,LRIG2
AST,937,0.9047157165685917,MAGI3
AST,938,0.7441331143428663,PHTF1
AST,939,0.7410175534537552,RSBN1
AST,946,0.759299643521788,HIPK1
AST,949,0.8696736547900279,TRIM33
AST,954,0.8468036964961586,CSDE1
AST,962,0.8512942636195099,SLC22A15
AST,965,0.8652134253090479,ATP1A1-AS1
AST,969,0.7818025371428134,PTGFRN
AST,971,0.7474746720329021,TTF2
AST,974,0.8463801625522958,MAN1A2
AST,975,0.7928010477243184,GDAP2
AST,979,0.8053065792245002,WARS2
AST,986,0.7954198427375804,PHGDH
AST,988,0.9227459808977845,NOTCH2
AST,989,0.7669837754970273,SEC22B
